"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid"
"138600018",18819752,"Text","bdd",NULL,NULL,867341
"138600017",18819752,"Min4","pyx",NULL,NULL,867326
"138600016",18819752,"Min3","rbk",NULL,NULL,867324
"138600015",18819752,"Min2","sil",NULL,NULL,867322
"138600014",18819752,"Min1","mnt",NULL,NULL,867320
"138600013",18819752,"Colour1","bu",NULL,NULL,867319
"138600012",18819752,"Gsize","vfg",NULL,NULL,867318
"138600011",18819752,"Lith1","Sif",NULL,NULL,867313
"186392895",24744142,"Alt Des4","111",NULL,NULL,1119798
"186392894",24744142,"Hardness","H",NULL,NULL,1119781
"186392893",24744142,"Weathering","F",NULL,NULL,1119780
"186392892",24744142,"Grainsize","F",NULL,NULL,1119779
"186392891",24744142,"Colour","3GY",NULL,NULL,1119778
"186392890",24744142,"Texture1","MX",NULL,NULL,1119773
"186392889",24744142,"Lithology1","MDO",NULL,NULL,1119772
"223113352",29936872,"WATER","DA",NULL,NULL,1316917
"223113351",29936872,"Samp_Qual","GS",NULL,NULL,1316916
"223113350",29936872,"Structure","FO",NULL,NULL,1316915
"223113349",29936872,"Alt1","CB",NULL,NULL,1316905
"223113348",29936872,"Mineralogy_4","CY",NULL,NULL,1316903
"223113347",29936872,"Mineralogy_3","SE",NULL,NULL,1316902
"223113346",29936872,"Mineralogy_2","CH",NULL,NULL,1316901
"223113345",29936872,"Mineralogy_1","CB",NULL,NULL,1316900
"223113344",29936872,"Text2","FG",NULL,NULL,1316899
"223113343",29936872,"Text1","FO",NULL,NULL,1316898
"223113342",29936872,"Colour_Int","YW",NULL,NULL,1316895
"223113341",29936872,"Colour_Plot","YW",NULL,NULL,1316894
"223113340",29936872,"Weathering_Profile","SR",NULL,NULL,1316893
"223113339",29936872,"Weathering_Oxide","MW",NULL,NULL,1316892
"223113338",29936872,"Lith3","-",NULL,NULL,1316891
"223113337",29936872,"Lith2","-",NULL,NULL,1316890
"223113336",29936872,"Lith1","AUT",NULL,NULL,1316889
"223113335",29936872,"DataSet","M1",NULL,NULL,1316885
"86500225",11472926,"H2O","w",NULL,NULL,511785
"86500224",11472926,"SQ","M",NULL,NULL,511784
"86500223",11472926,"Texture","mas",NULL,NULL,511779
"86500222",11472926,"Structure","bnd",NULL,NULL,511778
"86500221",11472926,"Mineralisation2","qtz",NULL,NULL,511776
"86500220",11472926,"Mineralisation1","mnt",NULL,NULL,511775
"86500219",11472926,"Grain","fg",NULL,NULL,511774
"86500218",11472926,"Lithology1","Sif",NULL,NULL,511772
"86500217",11472926,"Colour","dgy",NULL,NULL,511769
"138568287",18816773,"H2O","d",NULL,NULL,867355
"138568286",18816773,"SQ","g",NULL,NULL,867354
"138568285",18816773,"Text","mas",NULL,NULL,867341
"138568284",18816773,"Min4","aeg",NULL,NULL,867326
"138568283",18816773,"Min3","qtz",NULL,NULL,867324
"138568282",18816773,"Min2","amp",NULL,NULL,867322
"138568281",18816773,"Min1","pyx",NULL,NULL,867320
"138568280",18816773,"Colour1","gy",NULL,NULL,867319
"138568279",18816773,"Gsize","fg",NULL,NULL,867318
"138568278",18816773,"Lith1","Md",NULL,NULL,867313
"138568277",18816773,"Weath_I","F",NULL,NULL,867311
"138581563",18817924,"H2O","d",NULL,NULL,867355
"138581562",18817924,"SQ","g",NULL,NULL,867354
"138581561",18817924,"Slf1pc","0.5",NULL,NULL,867348
"138581560",18817924,"Slf1","pyr",NULL,NULL,867347
"138581559",18817924,"Vn1pc","0.5",NULL,NULL,867344
"138581558",18817924,"Vn1","qtz",NULL,NULL,867343
"138581557",18817924,"Text","bnd",NULL,NULL,867341
"138581556",18817924,"Min3","cly",NULL,NULL,867324
"138581555",18817924,"Min2","sil",NULL,NULL,867322
"138581554",18817924,"Min1","mnt",NULL,NULL,867320
"138581553",18817924,"Colour1","gy",NULL,NULL,867319
"138581552",18817924,"Gsize","vfg",NULL,NULL,867318
"138581551",18817924,"Fe_1","MOM",NULL,NULL,867315
"138581550",18817924,"Lith2","Ssh",NULL,NULL,867314
"138581549",18817924,"Lith1","Sif",NULL,NULL,867313
"138581548",18817924,"Weath_I","F",NULL,NULL,867311
"86483736",11470909,"Mineralisation2","mnt",NULL,NULL,511776
"86483735",11470909,"Mineralisation1","cly",NULL,NULL,511775
"86483734",11470909,"Lithology1","Ssh",NULL,NULL,511772
"86483733",11470909,"Weathering Intensity","Lsf",NULL,NULL,511770
"86483732",11470909,"Colour","orgy",NULL,NULL,511769
"138600435",18819806,"Text","bdd",NULL,NULL,867341
"138600434",18819806,"Min4","rbk",NULL,NULL,867326
"138600433",18819806,"Min3","aeg",NULL,NULL,867324
"138600432",18819806,"Min2","mnt",NULL,NULL,867322
"138600431",18819806,"Min1","sil",NULL,NULL,867320
"138600430",18819806,"Colour1","gy",NULL,NULL,867319
"138600429",18819806,"Gsize","fg",NULL,NULL,867318
"138600428",18819806,"Lith1","Sif",NULL,NULL,867313
"86488410",11471610,"Mineralisation2","sil",NULL,NULL,511776
"86488409",11471610,"Mineralisation1","mnt",NULL,NULL,511775
"86488408",11471610,"Grain","Fg",NULL,NULL,511774
"86488407",11471610,"Lithology1","Sif",NULL,NULL,511772
"86488406",11471610,"Colour","gy",NULL,NULL,511769
"237639557",32037865,"Update_Status","1",NULL,NULL,1402382
"237639556",32037865,"Load_Number","0",NULL,NULL,1402379
"237639555",32037865,"Coded_Geology_ID","31851",NULL,NULL,1402378
"237639554",32037865,"Collar_ID","0",NULL,NULL,1402377
"237639553",32037865,"HasParam","Y",NULL,NULL,1402374
"237639552",32037865,"Lith2","IRST",NULL,NULL,1402350
"237639551",32037865,"Desc11","PIS",NULL,NULL,1402325
"237639550",32037865,"Lith1","LATT",NULL,NULL,1402324
"237639549",32037865,"Regolith_zone","LLP",NULL,NULL,1402322
"237639548",32037865,"Regolith_Regime","R",NULL,NULL,1402320
"237639547",32037865,"Log_Conf","P",NULL,NULL,1402318
"237639546",32037865,"Weathering","S",NULL,NULL,1402317
"237639545",32037865,"RL","0",NULL,NULL,1402315
"237639544",32037865,"Data_Type","INT",NULL,NULL,1402310
"237639543",32037865,"Sheet_Number","2239",NULL,NULL,1402308
"237639542",32037865,"Company","NXA450",NULL,NULL,1402307
"237639541",32037865,"Prospect_Code","MNJY.15",NULL,NULL,1402306
"86482017",11470692,"Texture","bnd",NULL,NULL,511779
"86482016",11470692,"Mineralisation3","cly",NULL,NULL,511777
"86482015",11470692,"Mineralisation2","goe",NULL,NULL,511776
"86482014",11470692,"Mineralisation1","mnt",NULL,NULL,511775
"86482013",11470692,"Grain","fg",NULL,NULL,511774
"86482012",11470692,"Lithology1","Sif",NULL,NULL,511772
"86482011",11470692,"Regolith","Lrf",NULL,NULL,511771
"86482010",11470692,"Colour","lgybr",NULL,NULL,511769
"223138745",29938450,"Vein1","QC",NULL,NULL,1316919
"223138744",29938450,"Strength","M",NULL,NULL,1316918
"223138743",29938450,"Samp_Qual","GS",NULL,NULL,1316916
"223138742",29938450,"Structure","MSF",NULL,NULL,1316915
"223138741",29938450,"Mineralogy_2","CY",NULL,NULL,1316901
"223138740",29938450,"Mineralogy_1","CH",NULL,NULL,1316900
"223138739",29938450,"Text1","FO",NULL,NULL,1316898
"223138738",29938450,"Col_1","OL",NULL,NULL,1316896
"223138737",29938450,"Colour_Int","m",NULL,NULL,1316895
"223138736",29938450,"Weathering_Profile","US",NULL,NULL,1316893
"223138735",29938450,"Weathering_Oxide","MW",NULL,NULL,1316892
"223138734",29938450,"Lith3","-",NULL,NULL,1316891
"223138733",29938450,"Lith2","-",NULL,NULL,1316890
"223138732",29938450,"Lith1","AU",NULL,NULL,1316889
"223138731",29938450,"DataSet","SSTONE",NULL,NULL,1316885
"86480078",11470438,"H2O","D",NULL,NULL,511785
"86480077",11470438,"SQ","G",NULL,NULL,511784
"86480076",11470438,"Mineralisation3","cly",NULL,NULL,511777
"86480075",11470438,"Mineralisation2","mnt",NULL,NULL,511776
"86480074",11470438,"Mineralisation1","goe",NULL,NULL,511775
"86480073",11470438,"Grain","Fg",NULL,NULL,511774
"86480072",11470438,"Lithology1","Sif",NULL,NULL,511772
"86480071",11470438,"Weathering Intensity","Lkf",NULL,NULL,511770
"86480070",11470438,"Colour","yegy",NULL,NULL,511769
"86509095",11473858,"H2O","m",NULL,NULL,511785
"86509094",11473858,"SQ","G",NULL,NULL,511784
"86509093",11473858,"Vein1%","2",NULL,NULL,511781
"86509092",11473858,"Vein1","qtz",NULL,NULL,511780
"86509091",11473858,"Texture","bnd",NULL,NULL,511779
"86509090",11473858,"Structure","ind",NULL,NULL,511778
"86509089",11473858,"Mineralisation3","amp",NULL,NULL,511777
"86509088",11473858,"Mineralisation2","sil",NULL,NULL,511776
"86509087",11473858,"Mineralisation1","mnt",NULL,NULL,511775
"86509086",11473858,"Grain","fg",NULL,NULL,511774
"86509085",11473858,"Lithology2","Vq",NULL,NULL,511773
"86509084",11473858,"Lithology1","Sif",NULL,NULL,511772
"86509083",11473858,"Colour","dgy",NULL,NULL,511769
"223139860",29938508,"Comments","silt coarser grained more felsic silt zone",NULL,NULL,1316921
"223139859",29938508,"Vein1","QC",NULL,NULL,1316919
"223139858",29938508,"Strength","M",NULL,NULL,1316918
"223139857",29938508,"Samp_Qual","GS",NULL,NULL,1316916
"223139856",29938508,"Structure","MSF",NULL,NULL,1316915
"223139855",29938508,"Sulph1_per","0.5",NULL,NULL,1316910
"223139854",29938508,"Sulph1","PY",NULL,NULL,1316909
"223139853",29938508,"Mineralogy_2","GR",NULL,NULL,1316901
"223139852",29938508,"Mineralogy_1","KA",NULL,NULL,1316900
"223139851",29938508,"Text1","BG",NULL,NULL,1316898
"223139850",29938508,"Col_1","GY",NULL,NULL,1316896
"223139849",29938508,"Colour_Int","l",NULL,NULL,1316895
"223139848",29938508,"Weathering_Profile","F",NULL,NULL,1316893
"223139847",29938508,"Weathering_Oxide","F",NULL,NULL,1316892
"223139846",29938508,"Lith3","-",NULL,NULL,1316891
"223139845",29938508,"Lith2","-",NULL,NULL,1316890
"223139844",29938508,"Lith1","ASHG",NULL,NULL,1316889
"223139843",29938508,"DataSet","SSTONE",NULL,NULL,1316885
"32263096",4398023,"Texture","mas",NULL,NULL,262822
"32263095",4398023,"Mineralisation1","qtz",NULL,NULL,262811
"32263094",4398023,"Grain Size","fg",NULL,NULL,262810
"32263093",4398023,"Fe Est. Grade","L",NULL,NULL,262809
"32263092",4398023,"Fe1","GHM",NULL,NULL,262807
"32263091",4398023,"Lithology2","Ssh",NULL,NULL,262806
"32263090",4398023,"Lithology1","Sif",NULL,NULL,262805
"32263089",4398023,"Regolith","Lsf",NULL,NULL,262804
"32263088",4398023,"Weathering Intensity","M",NULL,NULL,262803
"32263087",4398023,"Colour","brrd",NULL,NULL,262802
"86512999",11474263,"Comments","kaolinitic shale",NULL,NULL,511786
"86512998",11474263,"H2O","d",NULL,NULL,511785
"86512997",11474263,"SQ","g",NULL,NULL,511784
"86512996",11474263,"Texture","bnd",NULL,NULL,511779
"86512995",11474263,"Mineralisation3","hem",NULL,NULL,511777
"86512994",11474263,"Mineralisation2","goe",NULL,NULL,511776
"86512993",11474263,"Mineralisation1","kln",NULL,NULL,511775
"86512992",11474263,"Grain","fg",NULL,NULL,511774
"86512991",11474263,"Lithology1","Ssh",NULL,NULL,511772
"86512990",11474263,"Regolith","Lk",NULL,NULL,511771
"86512989",11474263,"Colour","dbr",NULL,NULL,511769
"186375449",24742112,"Comments","UNCLEAR WHETHER SCH OR VQZ",NULL,NULL,1119799
"186375448",24742112,"Vein 1%","10",NULL,NULL,1119784
"186375447",24742112,"Vein Min1","QZ",NULL,NULL,1119783
"186375446",24742112,"Hardness","M",NULL,NULL,1119781
"186375445",24742112,"Weathering","E",NULL,NULL,1119780
"186375444",24742112,"Grainsize","F",NULL,NULL,1119779
"186375443",24742112,"Colour","2OR",NULL,NULL,1119778
"186375442",24742112,"Lithology2","VQZ",NULL,NULL,1119774
"186375441",24742112,"Lithology1","SUN ",NULL,NULL,1119772
"223156913",29939620,"Strength","EL",NULL,NULL,1316918
"223156912",29939620,"WATER","DR",NULL,NULL,1316917
"223156911",29939620,"Samp_Qual","GS",NULL,NULL,1316916
"223156910",29939620,"Alt1","CY",NULL,NULL,1316905
"223156909",29939620,"Mineralogy_3","GO",NULL,NULL,1316902
"223156908",29939620,"Mineralogy_2","CB",NULL,NULL,1316901
"223156907",29939620,"Mineralogy_1","CY",NULL,NULL,1316900
"223156906",29939620,"Col_2","WH",NULL,NULL,1316897
"223156905",29939620,"Col_1","YW",NULL,NULL,1316896
"223156904",29939620,"Weathering_Profile","US",NULL,NULL,1316893
"223156903",29939620,"Weathering_Oxide","EW",NULL,NULL,1316892
"223156902",29939620,"Lith3","-",NULL,NULL,1316891
"223156901",29939620,"Lith2","-",NULL,NULL,1316890
"223156900",29939620,"Lith1","AO",NULL,NULL,1316889
"223156899",29939620,"DataSet","WINDDINE",NULL,NULL,1316885
"138605153",18820317,"Comments","EOH",NULL,NULL,867356
"138605152",18820317,"H2O","d",NULL,NULL,867355
"138605151",18820317,"SQ","g",NULL,NULL,867354
"138605150",18820317,"Text","fol",NULL,NULL,867341
"138605149",18820317,"Min2","cly",NULL,NULL,867322
"138605148",18820317,"Min1","sil",NULL,NULL,867320
"138605147",18820317,"Colour1","gy",NULL,NULL,867319
"138605146",18820317,"Gsize","fg",NULL,NULL,867318
"138605145",18820317,"Lith1","Ssh",NULL,NULL,867313
"138605144",18820317,"Reg","Lk",NULL,NULL,867312
"138592771",18818963,"Text","bdd",NULL,NULL,867341
"138592770",18818963,"Min2","mnt",NULL,NULL,867322
"138592769",18818963,"Min1","sil",NULL,NULL,867320
"138592768",18818963,"Colour1","gy",NULL,NULL,867319
"138592767",18818963,"Lith1","Sif",NULL,NULL,867313
"138592766",18818963,"Weath_I","fr",NULL,NULL,867311
"138596105",18819301,"H2O","d",NULL,NULL,867355
"138596104",18819301,"SQ","g",NULL,NULL,867354
"138596103",18819301,"Text","bdd",NULL,NULL,867341
"138596102",18819301,"Min2","sil",NULL,NULL,867322
"138596101",18819301,"Min1","mnt",NULL,NULL,867320
"138596100",18819301,"Colour1","gy",NULL,NULL,867319
"138596099",18819301,"Gsize","fg",NULL,NULL,867318
"138596098",18819301,"Fe_Est_Grade","m",NULL,NULL,867317
"138596097",18819301,"Lith1","Sif",NULL,NULL,867313
"138607430",18820550,"Comments","contact gradational",NULL,NULL,867356
"138607429",18820550,"Text","bdd",NULL,NULL,867341
"138607428",18820550,"Min3","bio",NULL,NULL,867324
"138607427",18820550,"Min2","aeg",NULL,NULL,867322
"138607426",18820550,"Min1","mnt",NULL,NULL,867320
"138607425",18820550,"Colour1","gn   ",NULL,NULL,867319
"138607424",18820550,"Lith2","Ssq",NULL,NULL,867314
"138607423",18820550,"Lith1","Sif",NULL,NULL,867313
"186420917",24747354,"Alt Des2","1P",NULL,NULL,1119794
"186420916",24747354,"Alt Min2","TC",NULL,NULL,1119793
"186420915",24747354,"Alt Des1","3P",NULL,NULL,1119792
"186420914",24747354,"Alt Min1","CL",NULL,NULL,1119791
"186420913",24747354,"Vein 1%","1",NULL,NULL,1119784
"186420912",24747354,"Vein Min1","QZ",NULL,NULL,1119783
"186420911",24747354,"Hardness","S",NULL,NULL,1119781
"186420910",24747354,"Weathering","E",NULL,NULL,1119780
"186420909",24747354,"Grainsize","F",NULL,NULL,1119779
"186420908",24747354,"Colour","2BR",NULL,NULL,1119778
"186420907",24747354,"Structure Texture","FO",NULL,NULL,1119776
"186420906",24747354,"Lithology2","VQZ",NULL,NULL,1119774
"186420905",24747354,"Lithology1","UUN",NULL,NULL,1119772
"265230738",35935990,"M","QZ",NULL,NULL,1588984
"265230737",35935990,"%M","4",NULL,NULL,1588983
"265230736",35935990,"S_M","VN",NULL,NULL,1588982
"265230735",35935990,"AN","CH",NULL,NULL,1588981
"265230734",35935990,"AI","2",NULL,NULL,1588980
"265230733",35935990,"T_P","FGN",NULL,NULL,1588979
"265230732",35935990,"RCK1","SSH",NULL,NULL,1588976
"265230731",35935990,"CO1","BR",NULL,NULL,1588974
"265230730",35935990,"WT","M",NULL,NULL,1588973
"138588813",18818564,"H2O","d",NULL,NULL,867355
"138588812",18818564,"SQ","g",NULL,NULL,867354
"138588811",18818564,"Vn1pc","10",NULL,NULL,867344
"138588810",18818564,"Vn1","qtz",NULL,NULL,867343
"138588809",18818564,"Min4","mnt",NULL,NULL,867326
"138588808",18818564,"Min3","hem",NULL,NULL,867324
"138588807",18818564,"Min1","sil",NULL,NULL,867320
"138588806",18818564,"Colour1","gygn",NULL,NULL,867319
"138588805",18818564,"Gsize","fg",NULL,NULL,867318
"138588804",18818564,"Fe_Est_Grade","L",NULL,NULL,867317
"138588803",18818564,"Lith1","S",NULL,NULL,867313
"138588802",18818564,"Reg","Lsf",NULL,NULL,867312
"138593533",18819039,"H2O","d",NULL,NULL,867355
"138593532",18819039,"SQ","g",NULL,NULL,867354
"138593531",18819039,"Text","bdd",NULL,NULL,867341
"138593530",18819039,"Min4","hem",NULL,NULL,867326
"138593529",18819039,"Min3","goe",NULL,NULL,867324
"138593528",18819039,"Min2","mnt",NULL,NULL,867322
"138593527",18819039,"Min1","sil",NULL,NULL,867320
"138593526",18819039,"Colour1","br",NULL,NULL,867319
"138593525",18819039,"Gsize","fg",NULL,NULL,867318
"138593524",18819039,"Fe_Est_Grade","l",NULL,NULL,867317
"138593523",18819039,"Lith1","Sif",NULL,NULL,867313
"138593522",18819039,"Reg","Lrf",NULL,NULL,867312
"223124640",29937541,"WATER","WE",NULL,NULL,1316917
"223124639",29937541,"Samp_Qual","MS",NULL,NULL,1316916
"223124638",29937541,"Alt1","CB",NULL,NULL,1316905
"223124637",29937541,"Mineralogy_1","PX",NULL,NULL,1316900
"223124636",29937541,"Text2","FO",NULL,NULL,1316899
"223124635",29937541,"Text1","FG",NULL,NULL,1316898
"223124634",29937541,"Colour_Int","BK",NULL,NULL,1316895
"223124633",29937541,"Colour_Plot","BK",NULL,NULL,1316894
"223124632",29937541,"Weathering_Profile","F",NULL,NULL,1316893
"223124631",29937541,"Weathering_Oxide","F",NULL,NULL,1316892
"223124630",29937541,"Lith3","-",NULL,NULL,1316891
"223124629",29937541,"Lith2","-",NULL,NULL,1316890
"223124628",29937541,"Lith1","AU",NULL,NULL,1316889
"223124627",29937541,"DataSet","M1",NULL,NULL,1316885
"186364878",24740798,"Weathering","H",NULL,NULL,1119780
"186364877",24740798,"Grainsize","C",NULL,NULL,1119779
